type,marketsegment0,marketsegment1,marketsegment2,marketsegment3,mapping_reason
Acaraje restaurant,horeca,table_service,traditional_dining,,table_traditional
Afghani restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
African restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Alsace restaurant,horeca,table_service,traditional_dining,,table_traditional
American restaurant,horeca,table_service,traditional_dining,,table_traditional
Amusement park,leisure,on_site_catering_events,leisure_sites,amusement_recreation,leisure_amusement
Anago restaurant,horeca,table_service,traditional_dining,,table_traditional
Andalusian restaurant,horeca,table_service,traditional_dining,,table_traditional
Angler fish restaurant,horeca,table_service,themed_dining_fish_seafood,,table_fish_seafood
Anhui restaurant,horeca,table_service,traditional_dining,,table_traditional
Argentinian restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Armenian restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Art cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Asian fusion restaurant,horeca,table_service,traditional_dining,,table_traditional
Asian restaurant,horeca,table_service,themed_dining_asian,,table_asian
Assamese restaurant,horeca,table_service,traditional_dining,,table_traditional
Asturian restaurant,horeca,table_service,traditional_dining,,table_traditional
Australian restaurant,horeca,table_service,traditional_dining,,table_traditional
Austrian restaurant,horeca,table_service,traditional_dining,,table_traditional
Authentic Japanese restaurant,horeca,table_service,themed_dining_asian,,table_asian
Ayam penyet restaurant,horeca,table_service,traditional_dining,,table_traditional
Baden restaurant,horeca,table_service,traditional_dining,,table_traditional
Bakery,asc,food_store,bakeries_pastry_shops,,retail_bakery
Bakso restaurant,horeca,table_service,traditional_dining,,table_traditional
Balinese restaurant,horeca,table_service,traditional_dining,,table_traditional
Bangladeshi restaurant,horeca,table_service,traditional_dining,,table_traditional
Bar,horeca,cafes_bars_discotheques,traditional_bars,,bar_traditional
Bar PMU,horeca,cafes_bars_discotheques,traditional_bars,,bar_traditional
Bar restaurant furniture store,horeca,cafes_bars_discotheques,traditional_bars,,bar_traditional
Bar tabac,horeca,cafes_bars_discotheques,traditional_bars,,bar_traditional
Barbecue restaurant,horeca,table_service,themed_dining_grills_meat_specialties,,table_grill_meat
Basque restaurant,horeca,table_service,traditional_dining,,table_traditional
Batak restaurant,horeca,table_service,traditional_dining,,table_traditional
Bavarian restaurant,horeca,table_service,traditional_dining,,table_traditional
Bed & breakfast,horeca,hotel_lodging,other_accommodations,,lodging_bnb
Belgian restaurant,horeca,table_service,traditional_dining,,table_traditional
Berry restaurant,horeca,table_service,traditional_dining,,table_traditional
Betawi restaurant,horeca,table_service,traditional_dining,,table_traditional
Biryani restaurant,horeca,table_service,traditional_dining,,table_traditional
Bistro,horeca,table_service,traditional_dining,,table_traditional
Bowling alley,leisure,on_site_catering_events,leisure_sites,bowling,leisure_bowling
Bowling club,leisure,on_site_catering_events,leisure_sites,bowling,leisure_bowling
Brasserie,horeca,table_service,traditional_dining,,table_traditional
Brazilian restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Breakfast restaurant,horeca,table_service,traditional_dining,,table_traditional
Brewery,,,,,
British restaurant,horeca,table_service,traditional_dining,,table_traditional
Brunch restaurant,horeca,table_service,traditional_dining,,table_traditional
Buffet restaurant,horeca,table_service,traditional_dining,,table_traditional
Bulgarian restaurant,horeca,table_service,traditional_dining,,table_traditional
Burmese restaurant,horeca,table_service,traditional_dining,,table_traditional
Burrito restaurant,horeca,fast_food,fast_food_kebab_tacos_mexican,,ff_kebab_tacos_mex
Butcher shop,asc,food_store,butchers_delicatessens_caterers,,retail_butcher_deli
Cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Cafeteria,horeca,fast_food,self_service_cafeterias,,ff_self_service
Cajun restaurant,horeca,table_service,traditional_dining,,table_traditional
Californian restaurant,horeca,table_service,traditional_dining,,table_traditional
Cambodian restaurant,horeca,table_service,traditional_dining,,table_traditional
Campground,horeca,hotel_lodging,campsites,,lodging_campsite
Canadian restaurant,horeca,table_service,traditional_dining,,table_traditional
Cantabrian restaurant,horeca,table_service,traditional_dining,,table_traditional
Cantonese restaurant,horeca,table_service,traditional_dining,,table_traditional
Cape Verdean restaurant,horeca,table_service,traditional_dining,,table_traditional
Capsule hotel,horeca,hotel_lodging,hotels,,lodging_hotel
Caribbean restaurant,horeca,table_service,traditional_dining,,table_traditional
Casino,leisure,on_site_catering_events,leisure_sites,casino,leisure_casino
Castilian restaurant,horeca,table_service,traditional_dining,,table_traditional
Catalonian restaurant,horeca,table_service,traditional_dining,,table_traditional
Cendol restaurant,horeca,table_service,traditional_dining,,table_traditional
Central American restaurant,horeca,table_service,traditional_dining,,table_traditional
Central Javanese restaurant,horeca,table_service,traditional_dining,,table_traditional
Champon noodle restaurant,horeca,table_service,traditional_dining,,table_traditional
Chanko restaurant,horeca,table_service,traditional_dining,,table_traditional
Cheesesteak restaurant,horeca,table_service,traditional_dining,,table_traditional
Chesapeake restaurant,horeca,table_service,traditional_dining,,table_traditional
Chettinad restaurant,horeca,table_service,traditional_dining,,table_traditional
Chicken restaurant,horeca,table_service,traditional_dining,,table_traditional
Chicken wings restaurant,horeca,fast_food,fast_food_burgers_chicken,,ff_burgers_chicken
Childrens cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Chilean restaurant,horeca,table_service,traditional_dining,,table_traditional
Chinese noodle restaurant,horeca,table_service,traditional_dining,,table_traditional
Chinese restaurant,horeca,table_service,themed_dining_asian,,table_asian
Chinese takeaway,,,,,
Chocolate cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Chophouse restaurant,horeca,table_service,traditional_dining,,table_traditional
Coffee shop,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Cold noodle restaurant,horeca,table_service,traditional_dining,,table_traditional
Colombian restaurant,horeca,table_service,traditional_dining,,table_traditional
Comic cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Concert hall,,,,,
Contemporary Louisiana restaurant,horeca,table_service,traditional_dining,,table_traditional
Continental restaurant,horeca,table_service,traditional_dining,,table_traditional
Conveyor belt sushi restaurant,horeca,table_service,themed_dining_asian,,table_asian
Cosplay cafe,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Costa Rican restaurant,horeca,table_service,traditional_dining,,table_traditional
Country club,,,,,
Country food restaurant,horeca,table_service,traditional_dining,,table_traditional
Couscous restaurant,horeca,table_service,traditional_dining,,table_traditional
Crab house,,,,,
Creole restaurant,horeca,table_service,traditional_dining,,table_traditional
Croatian restaurant,horeca,table_service,traditional_dining,,table_traditional
Crêperie,horeca,table_service,creperies,,table_creperie
Cuban restaurant,horeca,table_service,traditional_dining,,table_traditional
Czech restaurant,horeca,table_service,traditional_dining,,table_traditional
Dan Dan noodle restaurant,horeca,table_service,traditional_dining,,table_traditional
Dance restaurant,horeca,table_service,traditional_dining,,table_traditional
Danish restaurant,horeca,table_service,traditional_dining,,table_traditional
Deli,,,,,
Delivery Chinese restaurant,horeca,table_service,themed_dining_asian,,table_asian
Dessert restaurant,horeca,table_service,traditional_dining,,table_traditional
Dim sum restaurant,horeca,table_service,traditional_dining,,table_traditional
Diner,horeca,table_service,traditional_dining,,table_traditional
Disco club,,,,,
Dojo restaurant,horeca,table_service,traditional_dining,,table_traditional
Dominican restaurant,horeca,table_service,traditional_dining,,table_traditional
Down home cooking restaurant,horeca,table_service,traditional_dining,,table_traditional
Dumpling restaurant,horeca,table_service,traditional_dining,,table_traditional
Dutch restaurant,horeca,table_service,traditional_dining,,table_traditional
